Wire,Diam,Color,Type,Code_no,Length,Connector_1,Port_1,Term_1,Seal_1,Wire_connection,Term_2,Seal_2,Connector_2,Port_2,Variant,Bundle,Loc_1,Loc_2,
3558.1,1.0,YE,R4,761975,9112+L2+L1,6E,8,1676698,,6E:8 to 108F_plug:1,1745813,1623427,108F_plug,1,BR15 DH150 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3559.1,1.0,BK,R4,761978,9112+L2+L1,6E,9,1676698,,6E:9 to 108F_plug:2,1745813,1623427,108F_plug,2,BR15 DH150 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3616.1,1.5,BU,litzed,1852513,5367+L2+L1,6CD,16,1792409,,6CD:16 to 119F_socket:13,1816054,2110833,119F_socket,13,DH20,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3617.1,1.5,BU,litzed,1852513,5367+L2+L1,6CD,15,1792409,,6CD:15 to 119F_socket:14,1816054,2110833,119F_socket,14,DH20,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3619.5,1.0,YE,R4,761975,5367+L1+L2,119F_socket,3,1745814,1623427,119F_socket:3 to 6CD:35,1792408,,6CD,35,DH07,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3620.5,1.0,BK,R4,761978,5367+L1+L2,119F_socket,4,1745814,1623427,119F_socket:4 to 6CD:36,1792408,,6CD,36,DH07,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3651.8,1.0,BU,litzed,761976,9082+L1+L2,107F_plug,10,1745813,1623427,107F_plug:10 to 6E:3,1676698,,6E,3,DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3659.8,1.0,BU,litzed,761976,9082+L2+L1,6E,4,1676698,,6E:4 to 107F_plug:11,1745813,1623427,107F_plug,11,DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3660.8,1.0,BU,litzed,761976,9082+L1+L2,107F_plug,12,1745813,1623427,107F_plug:12 to 6E:5,1676698,,6E,5,DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3728.1,1.0,BU,R4,761976,5777+L1,6CD,22,1792408,,6CD:22 to F847:2,1623425,1258968,F847,2,DH04 DQ22 DQ24 DQ26 DQ28,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3729.1,1.0,YE,R4,761975,5777+L1,6CD,24,1792408,,6CD:24 to F847:4,1623425,1258968,F847,4,DH04 DQ22 DQ24 DQ26 DQ28,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3730.1,1.0,BK,R4,761978,5777+L1,6CD,23,1792408,,6CD:23 to F847:3,1623425,1258968,F847,3,DH04 DQ22 DQ24 DQ26 DQ28,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3930.1,1.5,BU,litzed,1852513,5367+L2+L1,6CD,13,1792409,,6CD:13 to 119F_socket:12,1816054,2110833,119F_socket,12,DH20,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3931.1,1.5,BU,litzed,1852513,5367+L2+L1,6CD,12,1792409,,6CD:12 to 119F_socket:11,1816054,2110833,119F_socket,11,DH20,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3932.1,1.5,BU,litzed,1852513,5367+L2+L1,6CD,11,1792409,,6CD:11 to 119F_socket:10,1816054,2110833,119F_socket,10,DH20,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3933.1,1.5,BU,litzed,1852513,5367+L2+L1,6CD,10,1792409,,6CD:10 to 119F_socket:9,1816054,2110833,119F_socket,9,DH20,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3934.1,1.0,YE,R4,761975,5047+L1,6CD,3,1792408,,6CD:3 to 116F_socket:6,1745814,1623427,116F_socket,6,DH09 DH165 DH25 DH98 DQ06,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3935.1,1.0,BK,R4,761978,5047+L1,6CD,4,1792408,,6CD:4 to 116F_socket:5,1745814,1623427,116F_socket,5,DH09 DH165 DH25 DH98 DQ06,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3938.4,1.0,GY,R2,761977,5047+L1,116F_socket,3,1745814,1623427,116F_socket:3 to 6CD:17,1792408,,6CD,17,DH91,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3939.4,1.0,BK,R2,761978,5047+L1,116F_socket,4,1745814,1623427,116F_socket:4 to 6CD:18,1792408,,6CD,18,DH91,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3940.4,1.0,GY,R2,761977,5047+L1,116F_socket,9,1745814,1623427,116F_socket:9 to 6CD:19,1792408,,6CD,19,DH91,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3941.4,1.0,BK,R2,761978,5047+L1,116F_socket,10,1745814,1623427,116F_socket:10 to 6CD:20,1792408,,6CD,20,DH91,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3942.1,1.0,GY,R2,761977,2745,119F_socket,5,1745814,1623427,119F_socket:5 to F514:1,1745814,1623427,F514,1,DH07 DH08 DH95,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3943.1,1.0,BK,R2,761978,2745,119F_socket,6,1745814,1623427,119F_socket:6 to F514:3,1745814,1623427,F514,3,DH07 DH08 DH95,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3944.1,1.0,GY,R2,761977,2725,119F_socket,7,1784459,1258968,119F_socket:7 to F515:1,1745814,1623427,F515,1,DH07 DH08 DH95,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3945.1,1.0,BK,R2,761978,2725,119F_socket,8,1784459,1258968,119F_socket:8 to F515:3,1745814,1623427,F515,3,DH07 DH08 DH95,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3952.61,0.75,YE,R2,1381087,1740,116F_socket,14,1745814,1623428,116F_socket:14 to P072:5,1745814,1623428,P072,5,DH132,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3952.69,0.75,YE,R2,1381087,5887+L1+L2,G790,5,1745814,1623428,G790:5 to 6CD:8,1792408,,6CD,8,DH142,2437652 2437654 2437656 2437658 2437660 2437662 2437664 2437666 2437668 2437670 2437672 2437674 2437676 2437678 2437680 2437784 2437785,?,?,
3952.70,0.75,YE,R2,1381087,2935,G790,5,1745814,1623428,G790:5 to P097:7,1745814,1623428,P097,7,DH141,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
3952.71,0.75,YE,R2,1381087,6882+L2+L1,6CD,8,1792408,,6CD:8 to P097:8,1745814,1623428,P097,8,DH143,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
3952.72,0.75,YE,R2,1381087,2260+L2,G790,2,1745814,1623428,G790:2 to P072:14,1745814,1623428,P072,14,DH138,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3952.73,0.75,YE,R2,1381087,400,D453.A,1,1811510,1623428,D453.A:1 to G790:1,1745814,1623428,G790,1,DH139,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3953.61,0.75,BN,R2,1657780,1740,116F_socket,2,1745814,1623428,116F_socket:2 to P072:6,1745814,1623428,P072,6,DH132,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3953.69,0.75,BN,R2,1657780,5887+L2+L1,6CD,9,1792408,,6CD:9 to G790:7,1745814,1623428,G790,7,DH142,2437652 2437654 2437656 2437658 2437660 2437662 2437664 2437666 2437668 2437670 2437672 2437674 2437676 2437678 2437680 2437784 2437785,?,?,
3953.70,0.75,BN,R2,1657780,2935,G790,7,1745814,1623428,G790:7 to P097:1,1745814,1623428,P097,1,DH141,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
3953.71,0.75,BN,R2,1657780,6882+L2+L1,6CD,9,1792408,,6CD:9 to P097:2,1745814,1623428,P097,2,DH143,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
3953.72,0.75,BN,R2,1657780,2260+L2,G790,4,1745814,1623428,G790:4 to P072:15,1745814,1623428,P072,15,DH138,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
3953.73,0.75,BN,R2,1657780,400,D453.A,6,1811510,1623428,D453.A:6 to G790:3,1745814,1623428,G790,3,DH139,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
4602.3,1.0,BK,litzed,761978,6355+L2,P071.P,14,1745814,1623427,P071.P:14 to P031.D:7,1745814,1623427,P031.D,7,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
4936,1.0,BK,litzed,761978,5587+L2+L1,5CD,15,1676698,,5CD:15 to 158F_plug:1,1623425,1258968,158F_plug,1,DH30,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
5158.5,1.5,GY,R4,1686136,5367+L1+L2,119F_socket,2,1816054,2110833,119F_socket:2 to 6CD:34,1792409,,6CD,34,DH07,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
5491.1,1.5,GY,R4,1686136,5047+L1,6CD,2,1792409,,6CD:2 to 116F_socket:8,1784460,1258969,116F_socket,8,DH09 DH165 DH25 DH98 DQ06,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6164.2,1.0,BK,litzed,761978,8902+L2+L1,5CD,7,1676698,,5CD:7 to A088:7,1378901,1442375,A088,7,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6165,1.0,BK,litzed,761978,8902+L1+L2,A088,2,1378901,1442375,A088:2 to 5CD:21,1676698,,5CD,21,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6166,1.0,BK,litzed,761978,8902+L1+L2,A088,3,1378901,1442375,A088:3 to 5CD:20,1676698,,5CD,20,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6168,1.0,BK,litzed,761978,8902+L1+L2,A088,5,1378901,1442375,A088:5 to 5CD:18,1676698,,5CD,18,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6169,1.0,BK,litzed,761978,8902+L1+L2,A088,6,1378901,1442375,A088:6 to 5CD:19,1676698,,5CD,19,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6170,1.0,BK,litzed,761978,8902+L1+L2,A088,1,1378901,1442375,A088:1 to 5CD:6,1676698,,5CD,6,DH107,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
6421,0.75,BK,litzed,1381089,6902+L1+L2,P097,11,1745814,1623428,P097:11 to 5CD:10,1676698,,5CD,10,DH102,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
6496.9,0.4,WH,S2,A_2396617,8622+L1+L2+L3+L4,L308.A(8),1,,,L308.A(8):1 to 344C(2):1,,,344C(2),1,DH155,2437782 2437785 2437786,?,?,
6496.10,0.4,WH,S2,A_2396618,8622+L1+L2+L3+L4,L308.A(9),1,,,L308.A(9):1 to 344C(2):1,,,344C(2),1,DH156,2437643 2437651 2437652 2437781 2437783 2437784,?,?,
6496.11,0.4,WH,S2,A_2396619,8622+L1+L2+L3+L4,L308.A(10),1,,,L308.A(10):1 to 344C(2):1,,,344C(2),1,DH157,2437644 2437653 2437654 2437667 2437668,?,?,
6496.12,0.4,WH,S2,A_2396620,8622+L1+L2+L3+L4,L308.A(11),1,,,L308.A(11):1 to 344C(2):1,,,344C(2),1,DH158,2437645 2437655 2437656,?,?,
6496.13,0.4,WH,S2,A_2396621,8622+L1+L2+L3+L4,L308.A(12),1,,,L308.A(12):1 to 344C(2):1,,,344C(2),1,DH159,2437646 2437657 2437658 2437669 2437670,?,?,
6496.14,0.4,WH,S2,A_2396622,8622+L1+L2+L3+L4,L308.A(13),1,,,L308.A(13):1 to 344C(2):1,,,344C(2),1,DH160,2437647 2437648 2437659 2437660 2437661 2437662 2437671 2437672 2437673 2437674 2437675 2437676,?,?,
6496.15,0.4,WH,S2,A_2404490,8622+L1+L2+L3+L4,L308.A(14),1,,,L308.A(14):1 to 344C(2):1,,,344C(2),1,DH161,2437649 2437650 2437663 2437664 2437665 2437666 2437677 2437678 2437679 2437680,?,?,
7081,0.75,YE,R4,1381087,3615+L2,P072,1,1745814,1623428,P072:1 to P025:2,1623425,1258968,P025,2,DH89,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
7082,0.75,GN,R4,1657782,3615+L2,P025,4,1623425,1258968,P025:4 to P072:2,1745814,1623428,P072,2,DH89,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
7083,0.75,BU,R4,1381088,3615+L2,P072,10,1745814,1623428,P072:10 to P025:3,1623425,1258968,P025,3,DH89,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
7140,0.75,LBYE,litzed,2267126,6902+L1+L2,P097,12,1745814,1623428,P097:12 to 5CD:11,1676698,,5CD,11,DH102,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
7247.1,0.75,YEGN,R2,2290785,6087+L1+L2,P031.D,17,1745814,1623428,P031.D:17 to 6CD:26,1792408,,6CD,26,DH124,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
